classification,ax,ay,az,gx,gy,gz,ax2,ay2,az2,gx2,gy2,gz2,mx,my,mz,steps,temp
0,4550,677,1354,-155,66,109,16204,-3308,-2156,-201,-23,-153,171,91,365,22,-5328
0,15430,-1451,-512,1,177,81,16472,-3164,-1936,-81,-99,-169,167,97,360,22,-5312
0,15260,-1620,-221,17,73,177,16692,-3088,-2032,-72,-69,-118,171,95,359,22,-5296
0,15457,-1616,-161,107,-22,294,16332,-3272,-2036,-88,-97,-33,175,94,360,22,-5280
0,15118,-1703,-313,73,49,102,16448,-3072,-2128,87,54,64,176,95,361,22,-5296
1,1586,1602,11463,-32768,23188,4568,-1700,-12552,10836,-1752,-1315,562,295,65307,65303,22,-5312
1,-3792,-11454,11006,-224,988,335,-1568,-12496,11400,873,-618,-213,289,65309,65300,22,-5312
1,-3564,-11740,9775,-205,417,435,-1576,-12412,11664,-69,48,-331,291,65300,65299,22,-5280
1,-4007,-11664,10352,91,36,53,-1528,-11952,11700,2,147,36,287,65299,65296,22,-5312
1,-3866,-11408,10134,279,152,243,-1620,-12332,11596,-502,295,-161,285,65293,65292,22,-5280
2,-2767,-9623,6610,17925,-12563,1978,17940,13736,14996,15236,-7753,-1695,65439,192,87,22,-5312
2,10763,12058,4832,-1668,536,-2019,12236,10204,4724,-185,-966,13,65393,165,99,22,-5328
2,8986,12046,3508,-536,618,-502,12052,10448,4716,-20,-253,-334,65379,160,78,22,-5312
2,9137,12229,3697,20,93,-320,12196,10772,4336,108,-72,488,65382,159,84,22,-5280
2,8838,12380,3883,-381,23,-285,11888,10936,4348,-535,-284,-3,65376,159,85,22,-5312
3,-75,8582,-13977,2431,-21685,9610,-7860,2576,-16376,-236,-1595,7346,21,64686,370,22,-5328
3,-11557,3066,-12809,988,-447,781,-9664,5532,-10964,-287,-602,418,65531,64690,356,22,-5312
3,-10234,4015,-14879,63,-405,-184,-10424,5236,-10924,-236,-169,-284,65529,64682,347,22,-5312
3,-10216,4085,-14327,-247,-168,-95,-10248,5312,-10844,-143,-167,-130,0,64678,339,22,-5312
3,-10402,3656,-14275,-114,-95,-23,-10612,5132,-10884,-440,-89,-211,2,64676,342,22,-5344
4,12066,-8286,-2001,-5599,-2745,1039,7560,-14320,-11392,651,-19627,-8111,284,65028,572,22,-5328
4,-15603,-12198,-10414,-13190,-15869,-32768,-2044,-1128,-16416,1187,-647,-1114,197,65286,594,22,-5328
4,707,-2995,-16332,-369,41,-207,16,-1412,-15008,-180,-780,-240,204,65280,597,22,-5344
4,970,-2353,-17209,512,12,-98,-664,-1544,-15696,-511,-110,-60,206,65282,594,22,-5344
4,825,-2531,-16990,193,-63,303,-548,-1764,-16300,-1040,-220,-156,198,65282,596,22,-5328
5,13805,-7238,-2790,-2208,-907,1000,12552,-7472,-6332,-2147,-1519,3418,232,65463,487,22,-5344
5,10413,-9675,-5227,11609,-7616,-5171,-8084,-9328,-6340,23262,-9827,-32768,65446,65436,497,22,-5344
5,525,13408,-15838,4413,-605,-608,3936,12180,-9640,-207,44,-382,65382,65428,458,22,-5344
5,2640,11773,-12317,44,-60,-236,2856,11696,-10724,-371,-262,-183,65380,65421,462,22,-5328
5,1789,12044,-11895,-2507,235,1224,3552,14508,-7040,-5824,1824,14953,3,135,344,22,-5344
6,15795,-1856,-903,740,1002,-1623,21040,-18832,-6352,32767,-9012,7506,392,65484,116,22,-5344
6,10176,-2624,1149,32709,6831,26690,-1676,2600,17640,-3686,4164,3468,65462,65453,65185,22,-5344
6,-1871,2009,16645,-884,796,919,3184,-1048,16880,-1722,-514,4,65488,65453,65183,22,-5376
6,-323,237,15543,-663,-317,284,3380,-2112,17072,-427,-235,-25,65501,65456,65181,22,-5344
6,-713,179,15575,-4344,-663,-1439,5540,-11596,5344,-32768,6038,-11979,321,44,65530,22,-5360
0,15344,-420,-369,342,87,-151,16424,-2312,-2168,-439,-63,-321,166,101,347,7,-5408
0,15612,-929,-361,-165,109,276,16492,-2360,-2284,-421,-76,-68,172,93,351,7,-5408
0,15373,-651,-361,-537,-32,2,16400,-2560,-2608,-141,51,-244,171,96,349,7,-5408
0,14904,-795,-519,-311,122,-8,16248,-2492,-2484,-626,-82,3,170,95,351,7,-5392
0,15449,-1243,-701,201,139,-189,16464,-2276,-2040,-434,-316,141,175,91,352,7,-5424
0,15368,-936,-641,248,266,147,16420,-2308,-2364,-353,-91,-107,171,96,349,7,-5376
0,15393,-1061,-409,-17,118,34,16420,-2580,-2256,-422,-179,-103,175,89,355,7,-5424
